escolaridade_mae;escolaridade_pai;ocupacao_mae;ocupacao_pai
3 - Ensino Técnico;1 - Fundamental;Prestador de serviços;Profissional nao qualificado
1 - Fundamental;4 - Ensino Superior;Profissional especializado;Profissional especializado
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Profissional nao qualificado
3 - Ensino Técnico;1 - Fundamental;Prestador de serviços;Profissional especializado
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Profissional nao qualificado
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Profissional especializado
3 - Ensino Técnico;1 - Fundamental;Profissional especializado;Forças armadas
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Profissional nao qualificado
1 - Fundamental;1 - Fundamental;Profissional nao qualificado;Profissional nao qualificado
1 - Fundamental;1 - Fundamental;Prestador de serviços;Profissional especializado
3 - Ensino Técnico;1 - Fundamental;Prestador de serviços;Profissional especializado
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Profissional nao qualificado
3 - Ensino Técnico;1 - Fundamental;Prestador de serviços;Profissional nao qualificado
1 - Fundamental;1 - Fundamental;Prestador de serviços;Profissional especializado
3 - Ensino Técnico;1 - Fundamental;Prestador de serviços;Prestador de serviços
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Profissional especializado
3 - Ensino Técnico;1 - Fundamental;Prestador de serviços;Profissional especializado
3 - Ensino Técnico;1 - Fundamental;Prestador de serviços;Prestador de serviços
4 - Ensino Superior;1 - Fundamental;Profissional especializado;Prestador de serviços
3 - Ensino Técnico;1 - Fundamental;Profissional especializado;Profissional especializado
1 - Fundamental;1 - Fundamental;Profissional nao qualificado;Profissional especializado
1 - Fundamental;1 - Fundamental;Prestador de serviços;Profissional especializado
3 - Ensino Técnico;1 - Fundamental;Diretores e Gerentes;Diretores e Gerentes
1 - Fundamental;1 - Fundamental;Prestador de serviços;Profissional especializado
3 - Ensino Técnico;1 - Fundamental;Profissional especializado;Profissional especializado
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Profissional nao qualificado
3 - Ensino Técnico;1 - Fundamental;Profissional especializado;Profissional especializado
3 - Ensino Técnico;1 - Fundamental;Profissional especializado;Profissional especializado
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Profissional nao qualificado
4 - Ensino Superior;4 - Ensino Superior;Diretores e Gerentes;Forças armadas
4 - Ensino Superior;4 - Ensino Superior;Prestador de serviços;Profissional especializado
1 - Fundamental;4 - Ensino Superior;Forças armadas;Trabalho em escritorio
1 - Fundamental;1 - Fundamental;Prestador de serviços;Agricultores
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Prestador de serviços
4 - Ensino Superior;1 - Fundamental;Profissional especializado;Profissional nao qualificado
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Agricultores
2 - Ensino Médio;1 - Fundamental;Estudante;Estudante
3 - Ensino Técnico;1 - Fundamental;Agricultores;Agricultores
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Profissional especializado
4 - Ensino Superior;4 - Ensino Superior;Profissional especializado;Agricultores
4 - Ensino Superior;4 - Ensino Superior;Profissional especializado;Profissional especializado
4 - Ensino Superior;1 - Fundamental;Profissional especializado;Profissional especializado
1 - Fundamental;4 - Ensino Superior;Profissional especializado;Profissional especializado
1 - Fundamental;1 - Fundamental;Prestador de serviços;Prestador de serviços
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Profissional nao qualificado
3 - Ensino Técnico;1 - Fundamental;Prestador de serviços;Prestador de serviços
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Profissional nao qualificado
3 - Ensino Técnico;1 - Fundamental;Profissional especializado;Profissional especializado
1 - Fundamental;1 - Fundamental;Profissional nao qualificado;Profissional nao qualificado
3 - Ensino Técnico;1 - Fundamental;Profissional nao qualificado;Profissional nao qualificado
